id	Airline	A_ICAO	Time	InitialDate	FinalDate
220724	BEL	ESSB	660	3	30
220725	RYR	EDDB	460	3	28
220727	FIN	EFHK	555	3	30
220728	AFL	UUEE	645	3	31
220729	BEL	LSGG	575	3	31
220730	BCS	EDDP	270	3	31
220731	SWR	LSZH	1330	3	29
220732	BEL	LIRF	535	3	31
220733	BEL	EDDH	485	3	28
220734	THY	UNKNOWN	640	3	31
220735	RYR	UNKNOWN	1175	4	28
220736	DLH	EDDF	515	3	30
220737	CPA	VHHH	405	10	31
220738	THY	UNKNOWN	850	3	31
220739	BEL	EKCH	490	3	28
220740	AUA	LOWW	1160	3	29
220741	RYR	LEMD	565	3	28
220742	BEL	UNKNOWN	1205	3	30
220744	BEL	UNKNOWN	525	3	28
220745	BEL	LFPG	515	3	28
220747	BEL	LFPG	580	3	29
220748	SAS	ESSA	610	3	31
220749	BEL	LIPZ	525	3	31
220750	THY	UNKNOWN	1315	3	29
220751	IBE	LEMD	665	3	29
220752	AEE	LGAV	1185	5	28
220753	RYR	UNKNOWN	1365	3	28
220754	BAW	EGLL	1330	3	29
220755	AZA	LIRF	640	3	31
220756	RYR	LIRF	540	3	28
220757	TAP	LPPT	650	3	30
220758	BEL	EGCC	510	3	30
220759	DLH	EDDF	1345	3	28
220760	EJU	UNKNOWN	680	3	31
220763	BTI	EVRA	540	3	31
220764	BEL	UNKNOWN	525	3	27
220765	BEL	LLBG	515	17	31
220766	RYR	EIDW	540	3	29
220767	EIN	EIDW	570	3	31
220768	BEL	CYYZ	430	3	26
220769	RYR	LPPT	1280	3	28
220770	MEA	OLBA	650	3	30
220771	MEA	UNKNOWN	645	4	22
220772	BEL	UNKNOWN	80	3	31
220773	VLG	LEBL	545	3	30
220774	DLH	EDDM	1360	3	31
220777	BEL	LFLL	530	3	28
220779	EJU	UNKNOWN	1215	3	31
220780	BEL	UNKNOWN	390	3	31
220781	BEL	UNKNOWN	1155	3	28
220782	UAL	KEWR	450	3	31
220783	BEL	EGLL	540	3	31
220784	AZA	LIML	510	3	17
220785	AZA	LIMC	520	25	30
220786	BEL	LIRF	1190	3	28
220787	BEL	UNKNOWN	375	3	31
220788	SWR	LSZH	550	3	29
220789	BEL	LFBO	505	3	28
